
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
146,Andre Johnson,IND,34,WR,16,14,,4,,,,,,4,,,,,,,,24,
147,Marvin Jones,CIN,25,WR,16,13,,4,,,,,,4,,,,,,,,24,
148,Matt Jones,WAS,22,,13,0,3,1,,,,,,4,,,,,,,,24,
149,Kyle Juszczyk,BAL,24,FB,16,11,,4,,,,,,4,,,,,,,,24,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
150,Dion Lewis,NWE,25,rb,7,6,2,2,,,,,,4,,,,,,,,24,
151,Rishard Matthews,MIA,26,WR,11,11,,4,,,,,,4,,,,,,,,24,
152,Lance Moore,DET,32,wr,14,8,,4,,,,,,4,,,,,,,,24,
153,Joseph Randle,DAL,24,rb,6,6,4,,,,,,,4,,,,,,,,24,
154,Khiry Robinson,NOR,26,,8,0,4,,,,,,,4,,,,,,,,24,
155,Josh Scobee,PIT,33,k,4,0,,,,,,,,,,,6,7,6,10,,24,
156,Austin Seferian-Jenkins,TAM,23,te,7,3,,4,,,,,,4,,,,,,,,24,
157,Charles Sims,TAM,25,,16,0,,4,,,,,,4,,,,,,,,24,
158,Mike Tolbert*+,CAR,30,fb,16,3,1,3,,,,,,4,,,,,,,,24,
159,Shane Vereen,NYG,26,,16,0,,4,,,,,,4,,,,,,,,24,
160,Nate Washington,HOU,32,WR,14,14,,4,,,,,,4,,,,,,,,24,
161,Teddy Bridgewater*,MIN,23,QB,16,16,3,,,,,,,3,1,,,,,,,20,
162,Coby Fleener,IND,27,TE,16,11,,3,,,,,,3,1,,,,,,,20,
163,Vincent Jackson,TAM,32,wr,10,9,,3,,,,,,3,1,,,,,,,20,
164,Marshawn Lynch,SEA,29,rb,7,6,3,,,,,,,3,1,,,,,,,20,
165,Darren McFadden,DAL,28,RB,16,10,3,,,,,,,3,1,,,,,,,20,
166,Ameer Abdullah,DET,22,rb,16,9,2,1,,,,,,3,,,,,,,,18,
167,Javorius Allen,BAL,24,rb,16,6,1,2,,,,,,3,,,,,,,,18,
168,Danny Amendola,NWE,30,wr,14,7,,3,,,,,,3,,,,,,,,18,
169,Antonio Andrews,TEN,24,RB,14,10,3,,,,,,,3,,,,,,,,18,
170,Le'Veon Bell,PIT,23,rb,6,6,3,,,,,,,3,,,,,,,,18,
171,Martellus Bennett,CHI,28,TE,11,11,,3,,,,,,3,,,,,,,,18,
172,Alfred Blue,HOU,24,rb,15,9,2,1,,,,,,3,,,,,,,,18,
173,Ahmad Bradshaw,IND,29,,6,0,,3,,,,,,3,,,,,,,,18,
174,Tom Brady*,NWE,38,QB,16,16,3,,,,,,,3,,,,,,,,18,
175,Cameron Brate,TAM,24,te,14,4,,3,,,,,,3,,,,,,,,18,
176,Kenny Britt,STL,27,WR,16,13,,3,,,,,,3,,,,,,,,18,
177,Dez Bryant,DAL,27,wr,9,9,,3,,,,,,3,,,,,,,,18,
178,Jordan Cameron,MIA,27,TE,16,16,,3,,,,,,3,,,,,,,,18,
179,Ka'Deem Carey,CHI,23,rb,10,1,2,1,,,,,,3,,,,,,,,18,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
180,Brent Celek,PHI,30,TE,16,13,,3,,,,,,3,,,,,,,,18,
181,Garrett Celek,SFO,27,te,11,8,,3,,,,,,3,,,,,,,,18,
182,Charles Clay,BUF,26,TE,13,13,,3,,,,,,3,,,,,,,,18,
183,Jerricho Cotchery,CAR,33,wr,14,3,,3,,,,,,3,,,,,,,,18,
184,Andy Dalton,CIN,28,QB,13,13,3,,,,,,,3,,,,,,,,18,
185,Owen Daniels,DEN,33,TE,16,16,,3,,,,,,3,,,,,,,,18,
186,Ed Dickson,CAR,28,TE,16,11,,2,,,1,,,3,,,,,,,,18,
187,Andre Ellington,ARI,26,rb,10,3,3,,,,,,,3,,,,,,,,18,
188,Mike Evans,TAM,22,WR,15,14,,3,,,,,,3,,,,,,,,18,
189,Darren Fells,ARI,29,TE,14,12,,3,,,,,,3,,,,,,,,18,
190,Joe Flacco,BAL,30,QB,10,10,3,,,,,,,3,,,,,,,,18,
191,Malcom Floyd,SDG,34,WR,15,13,,3,,,,,,3,,,,,,,,18,
192,Arian Foster,HOU,29,rb,4,4,1,2,,,,,,3,,,,,,,,18,
193,Mike Gillislee,BUF,25,rb,5,1,3,,,,,,,3,,,,,,,,18,
194,Rashad Greene,JAX,23,,9,0,,2,1,,,,,3,,,,,,,,18,
195,Leonard Hankerson,3TM,26,,10,0,,3,,,,,,3,,,,,,,,18,
196,Michael Hoomanawanui,2TM,27,,14,8,,3,,,,,,3,,,,,,,,18,
197,Josh Huff,PHI,24,wr,15,4,,3,,,,,,3,,,,,,,,18,
198,Carlos Hyde,SFO,24,rb,7,7,3,,,,,,,3,,,,,,,,18,
199,Dontrelle Inman,SDG,26,wr,14,7,,3,,,,,,3,,,,,,,,18,
200,Chris Johnson,ARI,30,rb,11,9,3,,,,,,,3,,,,,,,,18,
201,Steve Johnson,SDG,29,wr,10,8,,3,,,,,,3,,,,,,,,18,
202,Zach Line,MIN,25,fb,16,5,2,1,,,,,,3,,,,,,,,18,
203,Marcus Mariota,TEN,22,QB,12,12,2,1,,,,,,3,,,,,,,,18,
204,Vance McDonald,SFO,25,TE,14,11,,3,,,,,,3,,,,,,,,18,
205,Jerick McKinnon,MIN,23,,16,0,2,1,,,,,,3,,,,,,,,18,
206,DeVante Parker,MIA,22,wr,15,4,,3,,,,,,3,,,,,,,,18,
207,Bilal Powell,NYJ,27,rb,11,2,1,2,,,,,,3,,,,,,,,18,
208,Marcel Reece,OAK,30,fb,15,7,,3,,,,,,3,,,,,,,,18,
209,Theo Riddick,DET,24,rb,16,1,,3,,,,,,3,,,,,,,,18,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
210,Rashad Ross,WAS,25,,13,0,,1,,1,,,1,3,,,,,,,,18,
211,Steve Smith,BAL,36,wr,7,7,,3,,,,,,3,,,,,,,,18,
212,Willie Snead,NOR,23,wr,15,9,,3,,,,,,3,,,,,,,,18,
213,Kenny Stills,MIA,23,wr,16,8,,3,,,,,,3,,,,,,,,18,
214,Jaelen Strong,HOU,21,wr,10,1,,3,,,,,,3,,,,,,,,18,
215,Will Tye,NYG,24,te,13,7,,3,,,,,,3,,,,,,,,18,
216,Clive Walford,OAK,24,te,16,2,,3,,,,,,3,,,,,,,,18,
217,Terrance Williams,DAL,26,WR,16,13,,3,,,,,,3,,,,,,,,18,
218,Jason Witten,DAL,33,TE,16,16,,3,,,,,,3,,,,,,,,18,
219,Robert Woods,BUF,23,wr,14,9,,3,,,,,,3,,,,,,,,18,
220,Kendall Wright,TEN,26,wr,10,9,,3,,,,,,3,,,,,,,,18,
221,T.J. Yeldon,JAX,22,RB,12,12,2,1,,,,,,3,,,,,,,,18,
222,Jamison Crowder,WAS,22,wr,16,6,,2,,,,,,2,2,,,,,,,16,
223,Cody Parkey,PHI,23,k,3,0,,,,,,,,,,,7,7,3,4,,16,
224,Jonathan Grimes,HOU,26,,14,0,1,1,,,,,,2,1,,,,,,,14,
225,Dexter McCluster,TEN,27,rb,11,2,1,1,,,,,,2,1,,,,,,,14,
226,Heath Miller,PIT,33,TE,15,15,,2,,,,,,2,1,,,,,,,14,
227,Josh Bellamy,CHI,26,wr,16,3,,2,,,,,,2,,,,,,,,12,
228,Giovani Bernard,CIN,24,rb,16,1,2,,,,,,,2,,,,,,,,12,
229,Brandon Bolden,NWE,25,rb,15,2,,2,,,,,,2,,,,,,,,12,
230,Blake Bortles,JAX,23,QB,16,16,2,,,,,,,2,,,,,,,,12,
231,Tyvon Branch,KAN,29,db,16,1,,,,,1,1,,2,,,,,,,,12,
232,Andre Caldwell,DEN,30,,14,0,,2,,,,,,2,,,,,,,,12,
233,Brandon Coleman,NOR,23,wr,16,3,,2,,,,,,2,,,,,,,,12,
234,Riley Cooper,PHI,28,WR,16,13,,2,,,,,,2,,,,,,,,12,
235,Karlos Dansby,CLE,34,LB,16,16,,,,,,2,,2,,,,,,,,12,
236,Patrick DiMarco*,ATL,26,fb,16,8,,2,,,,,,2,,,,,,,,12,
