
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
90,Markus Wheaton,PIT,24,wr,16,8,,,,,,5,105,0,28,21.0,854
91,Travaris Cadet,3TM,26,,7,1,1,1,0,1,1.0,3,94,0,38,31.3,337
92,Randall Cobb,GNB,25,WR,16,15,4,10,0,10,2.5,,,,,,889
93,Jeff Cumberland,NYJ,28,te,15,6,,,,,,4,50,0,17,12.5,127
94,Anthony Dixon,BUF,28,rb,16,1,,,,,,4,59,0,17,14.8,147
95,Brent Grimes*,MIA,32,CB,15,15,4,59,0,28,14.8,,,,,,59
96,Roy Helu,OAK,27,,9,0,,,,,,4,85,0,37,21.3,199
97,Dan Herron,2TM,26,,10,0,,,,,,4,92,0,28,23.0,218
98,T.Y. Hilton*,IND,26,WR,16,15,4,16,0,8,4.0,,,,,,1140
99,JJ Nelson,ARI,23,wr,11,2,4,13,0,11,3.3,,,,,,312
100,Cedric Peerman*,CIN,29,,16,0,,,,,,4,44,0,20,11.0,44
101,Walt Powell,BUF,24,,2,0,1,16,0,16,16.0,3,77,0,32,25.7,93
102,Chandler Worthy,HOU,22,,3,0,3,9,0,7,3.0,1,27,0,27,27.0,50
103,Keenan Allen,SDG,23,wr,8,8,3,5,0,5,1.7,,,,,,730
104,Odell Beckham*,NYG,23,WR,15,15,2,26,0,21,13.0,1,0,0,0,0.0,1467
105,Perrish Cox,TEN,28,CB,13,13,3,17,0,9,5.7,,,,,,17
106,Phillip Dorsett,IND,22,,11,0,2,1,0,1,0.5,1,12,0,12,12.0,255
107,Brittan Golden,ARI,27,,16,0,3,16,0,10,5.3,,,,,,21
108,Chris Harper,NWE,22,,5,0,3,17,0,10,5.7,,,,,,23
109,DeSean Jackson,WAS,29,wr,10,9,2,-5,0,2,-2.5,1,8,0,8,8.0,531
110,Zach Line,MIN,25,fb,16,5,,,,,,3,43,0,23,14.3,148
111,Marlon Moore,CLE,28,wr,14,2,,,,,,3,77,0,29,25.7,158
112,Isaiah Pead,STL,26,,2,0,,,,,,3,63,0,22,21.0,66
113,Chris Thompson,WAS,25,,13,0,,,,,,3,63,0,36,21.0,519
114,Michael Williams,NWE,25,te,15,9,,,,,,3,18,0,10,6.0,44
